"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.4","","","","1"
"2018-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.4","","","","1"
"2018-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.2","","","","1"
"2018-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.2","","","","1"
"2018-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.3","","","","1"
"2018-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.5","","","","1"
"2018-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.7","","","","1"
"2018-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.5","","","","1"
"2018-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.5","","","","1"
"2018-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.6","","","","1"
"2018-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.7","","","","1"
"2019-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.5","","","","1"
"2019-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.5","","","","1"
"2019-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.6","","","","1"
"2019-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.6","","","","1"
"2019-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.6","","","","1"
"2019-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.8","","","","1"
"2019-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.3","","","","1"
"2019-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","103.3","","","","1"
"2019-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","104.0","","","","1"
"2019-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","104.2","","","","1"
"2019-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","104.4","","","","1"
"2019-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","104.7","","","","1"
"2020-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","104.6","","","","1"
"2020-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","105.4","","","","1"
"2020-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","105.9","","","","1"
"2020-04","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","106.0","","","","1"
"2020-05","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","106.3","","","","1"
"2020-06","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","106.4","","","","1"
"2020-07","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","106.7","","","","1"
"2020-08","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","107.4","","","","1"
"2020-09","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","108.6","","","","1"
"2020-10","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","109.7","","","","1"
"2020-11","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","110.4","","","","1"
"2020-12","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","111.2","","","","1"
"2021-01","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","113.0","","","","1"
"2021-02","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","114.0","","","","1"
"2021-03","Ontario","2016A000235","House only","Index, 201612=100","347","units","0","v111955491","17.2","115.7","","","","1"
